,feature,importance,positive_effect
0,TotPkts,-90.15962043335622,False
1,TotBytes,67.31627567998952,True
2,icmp,-58.41151577496796,False
3,SrcBytes,-55.080442048287246,False
4,tcp,22.894970903429986,True
5,udp,18.106652306821438,True
6,igmp,-5.643949081626479,False
7,srcBytes_per_Pkt,3.4301423277515513,True
8,SrcBytes_bandwidth,-3.127933786793565,False
9,Bytes_per_Pkt,1.2635509595508019,True
10,rtcp,-1.161854345563872,False
11,Bytes_bandwidth,-0.6461590099132511,False
12,Pkts_bandwidth,0.6141335696956168,True
13,ipv6-icmp,-0.2928166631648174,False
14,arp,-0.06102290931284672,False
15,rtp,-0.048451251102170856,False
16,Dur,0.023843165712136655,True
